name,n_removed,n_train,n_val,xgb_val_rmse,xgb_val_r2,cb_val_rmse,cb_val_r2,lgb_val_rmse,lgb_val_r2
E4-1 baseline,0,13871,4668,0.08507315637243534,0.08239486355363612,0.0848995771285561,0.0861355197538004,0.08502269400535796,0.08348312208553821
E4-2 clip_speed,0,13871,4668,0.08512912429966477,0.08118711829331127,0.08483885967058206,0.08744218554880112,0.08510942141624481,0.08161238210915933
E4-3 remove_y,328,13695,4591,0.08213599908409175,0.07817797288110295,0.08180671681792456,0.08555430496479455,0.0820622212792028,0.07983326317471051
E4-4 clip+remove,328,13695,4591,0.0821816003885424,0.07715411107882397,0.08186310903557627,0.08429315193605436,0.08214019841303903,0.07808371134116521
