seed,stat_r2,fused_r2,diff
0,0.0720069812749281,0.05321929658146052,-0.018787684693467588
1,0.062364827354232766,0.06064378978416307,-0.0017210375700696945
2,0.07062778601204478,0.049803723472262806,-0.020824062539781973
3,0.06616971808597305,0.06699469626565047,0.0008249781796774158
4,0.062328669900639344,0.06501419280062493,0.002685522899985582
5,0.07182056706160855,0.04616629187499899,-0.025654275186609565
6,0.06751893297038469,0.05353462381276519,-0.013984309157619501
7,0.058241720289324395,0.05951377956042059,0.001272059271096193
8,0.06989823774399395,0.05447551918788773,-0.015422718556106219
9,0.07442855051429142,0.06437533652484106,-0.01005321398945036
10,0.06695141332131782,0.06330878423796149,-0.00364262908335633
11,0.05279626520926883,0.052172438054644776,-0.000623827154624057
12,0.07394497746289952,0.06255369752127493,-0.011391279941624588
13,0.061088536161338136,0.051301149152811476,-0.00978738700852666
14,0.06067704125349371,0.056600776570592926,-0.004076264682900788
15,0.06478442520588523,0.06063006797289783,-0.0041543572329874046
16,0.06875787568226532,0.053012180680984344,-0.01574569500128098
17,0.059550142905693715,0.06186619880666466,0.002316055900970948
18,0.06594290360738264,0.046187577129168544,-0.019755326478214097
19,0.06920398705271391,0.054481703224530276,-0.014722283828183635
20,0.07345278751779871,0.058679516660426256,-0.014773270857372456
21,0.07484569503258909,0.06418517688914638,-0.01066051814344271
22,0.06890007404267007,0.04533740600036529,-0.02356266804230478
23,0.0627149682798046,0.05540217587436935,-0.007312792405435253
24,0.06170779636518686,0.06170989120161141,2.094836424548774e-06
25,0.06911203601748073,0.05584915801433843,-0.013262878003142298
26,0.06478822455131872,0.05660921583504397,-0.00817900871627475
27,0.06878613433729852,0.05911946403036483,-0.009666670306933689
28,0.054465941803148676,0.05706549550581319,0.0025995537026645144
29,0.0580075227671365,0.049642413071900204,-0.008365109695236295
