top_n,stat_r2,fused_r2,diff,p
5,0.06586282465947042,0.06421727813226594,-0.0016455465272044861,0.2615301639507037
10,0.06586282465947042,0.0656404165413666,-0.00022240811810382566,0.8708315548384185
15,0.06586282465947042,0.06224309731454684,-0.003619727344923586,0.06610500733053058
20,0.06586282465947042,0.06390948246617026,-0.0019533421933001643,0.17500858331846597
