name,n_feat,val_r2,val_rmse,test_r2,test_rmse
E7-1 정형만,59,0.07626997007757363,0.08982329490369431,0.013793439752884828,0.09155483293456125
E7-2 생체역학만,81,0.00028775705451011824,0.09344454548092765,-0.001825382698153133,0.09227697441650413
E7-3 융합,140,0.06799196084653314,0.09022487307785688,0.035166490127182204,0.09055731143921444
E7-5 paired t-test,—,stat=0.0659 / fused=0.0566,p=0.0000,—,—
