target,n_games,n_tr,n_vl,n_te,lower_better,stat_val_r2,fuse_val_r2,diff_r2,stat_val_rmse,fuse_val_rmse,stat_val_mae,fuse_val_mae,base_rmse,base_mae,skill_rmse_stat,skill_rmse_fuse,auc_stat,auc_fuse,n_clf,test_r2_stat,test_rmse_stat,t,p_raw,p_bonf,sig_raw,sig_bonf
y_whiff,1079,594,219,266,False,0.0360966195335845,0.029536511724140416,-0.006560107809444084,0.09259911256687646,0.09291390624149168,0.07577090336656281,0.07546921188710125,0.09431903265931803,0.07572052718970529,0.01823513286712719,0.014897591485079076,0.6365016625886191,0.6229970512579207,146,0.022155721720207855,0.09048756128996367,-2.256035121508873,0.031781828708654314,0.12712731483461726,True,False
y_xwoba,1079,594,219,266,True,0.001995283365249634,-0.0005305310090382894,-0.0025258143742879235,0.0957760231136584,0.09589748049664723,0.07769272526105245,0.07776596695184708,0.09617378822982185,0.07806033777654785,0.004135899432524459,0.0028730045707916485,0.5530630244088481,0.5296314836003051,168,0.006510496139526367,0.0887587010876612,-1.0773378070117843,0.29020996705852947,1.0,False,False
y_fip,1079,594,219,266,True,-0.004334386189778646,-0.004665338993072509,-0.00033095280329386353,2.886777732752717,2.88726045367885,2.266867995262146,2.2711079915364585,2.8898940227841385,2.2730201328352018,0.0010783405920260503,0.0009113030043750303,0.5261614401858306,0.5088190265019533,159,0.004632234573364258,2.7441921460076744,-0.22933043033051048,0.8202218480544218,1.0,False,False
y_era,1079,594,219,266,True,0.009417935212453207,0.003805631399154663,-0.005612303813298544,4.088407815503542,4.100009564760972,3.1846772909164427,3.2031957387924193,4.107880075452394,3.2163305659333083,0.004740221133818667,0.0019159543479504437,0.5687467700258397,0.550139534883721,161,0.01279526948928833,4.407316038346381,-3.1178471183432235,0.004089414672808508,0.016357658691234032,True,True
