model,baseline_r2,tuned_val_r2,tuned_mean_r2,tuned_std_r2,improvement
XGB,0.0824,0.08813504077837997,0.08633992236660391,0.0011567707941248875,0.005735040778379968
CB,0.0861,0.09207256617647508,0.0873579495051024,0.0018229391409168368,0.005972566176475083
LGB,0.0835,0.08796430022433066,0.08511108376376238,0.0013627254999846472,0.004464300224330656
